Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,D1A_1,D1,1087.245239,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,21744.9043,,,1112.30603,1062.707275,13143,7927,5216,0,0,0,0,,,,,,,,,16500,,,,,,,,,,,,,,18947.68362,9019.564002,15007.55793,,,,,1099.9646,1074.661865,,,,,,,,,,,,
A02,D1B_4,D1,1.094289541,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,21.88579178,,,1.74989152,0.627487004,16134,15,16119,0,0,0,0,,,,,,,,,21500,,,,,,,,,,,,,,23327.95456,7436.587989,7451.36241,,,,,1.401895165,0.835434616,,,,,,,,,,,,
A03,CONTROL_27C_1A_D3_DACT,D1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.235821456,0,14948,0,14948,0,0,0,0,,,,,,,,,21500,,,,,,,,,,,,,,0,9319.089139,9319.089139,,,,,0.107750997,0,,,,,,,,,,,,
A04,CONTROL_27C_1A_D3_DACT,D1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.213443875,0,16515,0,16515,0,0,0,0,,,,,,,,,21500,,,,,,,,,,,,,,0,8914.556846,8914.556846,,,,,0.097526789,0,,,,,,,,,,,,
A05,CONTROL_31C_1A_D14_DACT,D1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.236121625,0,14929,0,14929,0,0,0,0,,,,,,,,,21500,,,,,,,,,,,,,,0,7242.948002,7242.948002,,,,,0.10788814,0,,,,,,,,,,,,
A06,CONTROL_30C_1D_D3_DACT,D1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.227451712,0,15498,0,15498,0,0,0,0,,,,,,,,,20500,,,,,,,,,,,,,,0,7118.338513,7118.338513,,,,,0.103926912,0,,,,,,,,,,,,
A07,G3A_1,G3,1000000,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,20000000,,,1000000,9967.134766,14319,14319,0,0,0,0,0,,,,,,,,,15500,,,,,,,,,,,,,,18649.7293,0,18649.7293,,,,,1000000,10888.54395,,,,,,,,,,,,
A08,G3B_4,G3,85.63452911,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1712.690552,,,90.80227661,80.48937225,15099,1060,14039,0,0,0,0,,,,,,,,,18500,,,,,,,,,,,,,,20361.59433,7430.969667,8338.742509,,,,,88.26828766,83.00663757,,,,,,,,,,,,
A09,CONTROL_27C_1A_D3_G3ITS2,G3,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.254776478,0,13836,0,13836,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,0,9244.525978,9244.525978,,,,,0.11641138,0,,,,,,,,,,,,
A10,CONTROL_27C_1A_D3_G3ITS2,G3,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.227041483,0,15526,0,15526,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,0,9410.809433,9410.809433,,,,,0.103739485,0,,,,,,,,,,,,
